World Rank,University Names,Location ,National Rank,Educational Rank,Employability Rank,Faculty Rank,Research Rank,Score
566Top 2.8%,Guangdong University of Technology,China,76,-,1431,-,529,73.6
567Top 2.8%,Savoie Mont Blanc University,France,27,-,-,-,531,73.6
568Top 2.8%,Central China Normal University,China,77,-,1203,-,536,73.6
569Top 2.8%,Medical University of Graz,Austria,5,-,-,-,537,73.6
570Top 2.8%,Indian Institute of Technology Madras,India,4,-,174,-,603,73.6
571Top 2.8%,Zhejiang University of Technology,China,78,-,1139,-,540,73.6
572Top 2.8%,Swansea University,United Kingdom,39,-,1339,-,538,73.6
573Top 2.8%,Renmin University of China,China,79,-,82,-,725,73.5
574Top 2.8%,Medical University of Innsbruck,Austria,6,-,-,-,542,73.5
575Top 2.9%,Bocconi University,Italy,27,-,48,265,1019,73.5
576Top 2.9%,Clemson University,USA,149,-,919,-,543,73.5
577Top 2.9%,China University of Geosciences (Wuhan),China,80,-,658,-,552,73.5
578Top 2.9%,National Technical University of Athens,Greece,3,544,787,-,548,73.5
579Top 2.9%,Yangzhou University,China,81,-,1689,-,545,73.5
580Top 2.9%,Tata Institute of Fundamental Research,India,5,-,-,-,546,73.5
581Top 2.9%,Polytechnic University of Turin,Italy,28,-,896,-,551,73.5
582Top 2.9%,Federal University of São Paulo,Brazil,7,-,-,-,549,73.5
583Top 2.9%,University of Aveiro,Portugal,5,-,-,-,550,73.5
584Top 2.9%,Brunel University London,United Kingdom,40,-,646,-,563,73.4
585Top 2.9%,University of Jyväskylä,Finland,7,-,1590,-,553,73.4
586Top 2.9%,Chiba University,Japan,15,-,-,-,554,73.4
587Top 2.9%,Swinburne University of Technology,Australia,24,-,-,-,555,73.4
588Top 2.9%,Hitotsubashi University,Japan,16,-,20,-,-,73.4
589Top 2.9%,Donghua University,China,82,-,1137,-,557,73.4
590Top 2.9%,Chang Gung University,Taiwan,6,-,-,-,556,73.4
591Top 2.9%,Palacký University Olomouc,Czech Republic,3,-,-,-,559,73.4
592Top 2.9%,University of Palermo,Italy,29,-,-,-,560,73.4
593Top 2.9%,Osaka Metropolitan University,Japan,17,298,435,-,582,73.4
594Top 2.9%,University of Graz,Austria,7,451,1303,162,724,73.4
595Top 2.9%,University of Minho,Portugal,6,-,-,-,565,73.3
596Top 3%,Southwest Jiaotong University,China,83,-,888,-,570,73.3
597Top 3%,Gustave Eiffel University,France,28,532,-,-,567,73.3
598Top 3%,San Diego State University,USA,150,315,445,-,586,73.3
599Top 3%,Tianjin Medical University,China,84,-,-,-,568,73.3
600Top 3%,Ewha Womans University,South Korea,14,-,-,-,569,73.3
601Top 3%,University of Sherbrooke,Canada,21,-,1020,-,571,73.3
602Top 3%,AGH University of Science and Technology,Poland,3,-,955,-,573,73.3
603Top 3%,University of Iceland,Iceland,1,-,-,-,572,73.3
604Top 3%,University of Salerno,Italy,30,-,1509,-,575,73.3
605Top 3%,Rensselaer Polytechnic Institute,USA,151,446,153,-,672,73.3
606Top 3%,University of Texas at Arlington,USA,152,-,796,-,579,73.2
607Top 3%,Indian Institute of Technology Delhi,India,6,-,124,-,699,73.2
608Top 3%,Beijing University of Technology,China,85,-,-,-,577,73.2
609Top 3%,University of Brescia,Italy,31,-,-,-,578,73.2
610Top 3%,University of Nebraska Medical Center,USA,153,-,-,-,580,73.2
611Top 3%,Tehran University of Medical Sciences,Iran,3,-,-,-,581,73.2
612Top 3%,Illinois Institute of Technology,USA,154,57,183,-,853,73.2
613Top 3%,Naval Medical University,China,86,-,-,-,583,73.2
614Top 3%,University of St.Gallen,Switzerland,9,-,28,-,1561,73.2
615Top 3%,National University of Defense Technology,China,87,-,1166,-,584,73.2
616Top 3.1%,National Central University,Taiwan,7,-,-,-,585,73.2
617Top 3.1%,National Research Nuclear University MEPhI,Russia,8,456,-,-,587,73.1
618Top 3.1%,Brigham Young University,USA,155,322,759,-,591,73.1
619Top 3.1%,University of Wisconsin–Milwaukee,USA,156,286,507,-,602,73.1
620Top 3.1%,Concordia University,Canada,22,546,352,-,613,73.1
621Top 3.1%,University of Delhi,India,7,540,217,-,648,73.1
622Top 3.1%,Guangzhou Medical University,China,88,-,-,-,588,73.1
623Top 3.1%,University of Burgundy,France,29,178,-,-,609,73.1
624Top 3.1%,Utah State University,USA,157,362,1007,-,592,73.1
625Top 3.1%,Chung-Ang University,South Korea,15,-,1161,-,590,73.1
626Top 3.1%,University of Cagliari,Italy,32,-,-,-,589,73.1
627Top 3.1%,Middle East Technical University,Turkey,1,-,319,-,632,73.1
628Top 3.1%,University of Johannesburg,South Africa,6,-,1086,-,595,73.1
629Top 3.1%,South China Normal University,China,89,-,1193,-,596,73.0
630Top 3.1%,"Institute of Cancer Research, University of London",United Kingdom,41,240,-,-,608,73.0
631Top 3.1%,Jeonbuk National University,South Korea,16,-,-,-,597,73.0
632Top 3.1%,Catholic University of Korea,South Korea,17,-,-,-,598,73.0
633Top 3.1%,University of Caen Normandy,France,30,-,-,-,599,73.0
634Top 3.1%,Swarthmore College,USA,158,18,286,-,-,73.0
635Top 3.1%,Ioffe Physical-Technical Institute of the Russian Academy of Sciences,Russia,9,43,-,227,1079,73.0
636Top 3.1%,Hohai University,China,90,-,1256,-,601,73.0
637Top 3.2%,Czech Technical University in Prague,Czech Republic,4,407,-,-,607,73.0
638Top 3.2%,Hacettepe University,Turkey,2,-,-,-,604,73.0
639Top 3.2%,University of Eastern Piedmont,Italy,33,-,-,-,605,73.0
640Top 3.2%,University of Udine,Italy,34,-,1583,-,606,72.9
641Top 3.2%,University of Québec at Montreal,Canada,23,-,967,-,610,72.9
642Top 3.2%,College of William & Mary,USA,159,-,101,-,782,72.9
643Top 3.2%,Konkuk University,South Korea,18,-,1146,-,611,72.9
644Top 3.2%,Loughborough University,United Kingdom,42,-,1598,279,627,72.9
645Top 3.2%,"St George's, University of London",United Kingdom,43,-,-,-,612,72.9
646Top 3.2%,South China Agricultural University,China,91,-,1696,-,614,72.9
647Top 3.2%,University of La Laguna,Spain,18,-,-,-,615,72.9
648Top 3.2%,Memorial University of Newfoundland,Canada,24,-,845,-,620,72.9
649Top 3.2%,University of Cantabria,Spain,19,-,1591,-,616,72.9
650Top 3.2%,Bielefeld University,Germany,41,458,1463,-,617,72.9
651Top 3.2%,University of Bayreuth,Germany,42,-,1138,-,619,72.9
652Top 3.2%,University of Campania Luigi Vanvitelli,Italy,35,-,-,-,618,72.8
653Top 3.2%,University of Málaga,Spain,20,-,-,-,622,72.8
654Top 3.2%,University of New Hampshire,USA,160,-,491,-,642,72.8
655Top 3.2%,China University of Mining and Technology (Xuzhou),China,92,-,581,-,636,72.8
656Top 3.2%,University of Texas at San Antonio,USA,161,-,-,-,623,72.8
657Top 3.3%,King Fahd University of Petroleum and Minerals,Saudi Arabia,4,-,107,-,792,72.8
658Top 3.3%,Shaanxi Normal University,China,93,-,-,-,624,72.8
659Top 3.3%,"Northwest University, Xi'an",China,94,-,1169,-,625,72.8
660Top 3.3%,University of Haifa,Israel,7,-,959,-,628,72.8
661Top 3.3%,Comenius University in Bratislava,Slovak Republic,1,-,-,-,626,72.8
662Top 3.3%,"China University of Geosciences, Beijing",China,95,-,1582,-,629,72.8
663Top 3.3%,National Polytechnic Institute,Mexico,2,-,-,-,630,72.8
664Top 3.3%,CINVESTAV,Mexico,3,-,-,-,631,72.7
665Top 3.3%,Ankara University,Turkey,3,-,858,-,635,72.7
