Ranking,University Name,National/Regional Rank,Total Score,LOGO,University Detail 
101-150,Emory University,40-54,0.0,http://www.shanghairanking.com/_uni/logo/7489183e0.png,http://www.shanghairanking.com/institution/emory-university
101-150,Icahn School of Medicine at Mount Sinai,40-54,0.0,http://www.shanghairanking.com/_uni/logo-jpg/a23fc3bb300.jpg,http://www.shanghairanking.com/institution/icahn-school-of-medicine-at-mount-sinai
101-150,Indiana University Bloomington,40-54,9.2,http://www.shanghairanking.com/_uni/logo/7a6b45fcc.png,http://www.shanghairanking.com/institution/indiana-university-bloomington
101-150,King Abdulaziz University,1-2,0.0,http://www.shanghairanking.com/_uni/logo-jpg/ca4482ae600.jpg,http://www.shanghairanking.com/institution/king-abdulaziz-university
101-150,King Saud University,1-2,0.0,http://www.shanghairanking.com/_uni/logo/a8ed57dd5.png,http://www.shanghairanking.com/institution/king-saud-university
101-150,Leiden University,4-6,15.1,http://www.shanghairanking.com/_uni/logo/970699879.png,http://www.shanghairanking.com/institution/leiden-university
101-150,London School of Economics and Political Science,9-16,22.6,http://www.shanghairanking.com/_uni/logo/21a6b0778.png,http://www.shanghairanking.com/institution/london-school-of-economics-and-political-science
101-150,Mayo Clinic Alix School of Medicine,40-54,0.0,http://www.shanghairanking.com/_uni/logo-jpg/d60a8d8e800.jpg,http://www.shanghairanking.com/institution/mayo-clinic-alix-school-of-medicine
101-150,Moscow State University,1,38.9,http://www.shanghairanking.com/_uni/logo/98123a275.png,http://www.shanghairanking.com/institution/moscow-state-university
101-150,Nagoya University,3,27.7,http://www.shanghairanking.com/_uni/logo/958492796.png,http://www.shanghairanking.com/institution/nagoya-university
101-150,Nanjing University,9-13,0.0,http://www.shanghairanking.com/_uni/logo/44696062.png,http://www.shanghairanking.com/institution/nanjing-university
101-150,Norwegian University of Science and Technology - NTNU,2,11.9,http://www.shanghairanking.com/_uni/logo/5cbe779ad.png,http://www.shanghairanking.com/institution/norwegian-university-of-science-and-technology-ntnu
101-150,Radboud University Nijmegen,4-6,16.0,http://www.shanghairanking.com/_uni/logo/6759d15cf.png,http://www.shanghairanking.com/institution/radboud-university-nijmegen
101-150,Rice University,40-54,15.1,http://www.shanghairanking.com/_uni/logo/3bd736da6.png,http://www.shanghairanking.com/institution/rice-university
101-150,"Rutgers, The State University of New Jersey - New Brunswick",40-54,7.5,http://www.shanghairanking.com/_uni/logo/c01c983b9.png,http://www.shanghairanking.com/institution/rutgers-the-state-university-of-new-jersey-new-brunswick
101-150,Sapienza University of Rome,1,15.1,http://www.shanghairanking.com/_uni/logo/7ecaa1198.png,http://www.shanghairanking.com/institution/sapienza-university-of-rome
101-150,Sichuan University,9-13,0.0,http://www.shanghairanking.com/_uni/logo/75651370.png,http://www.shanghairanking.com/institution/sichuan-university
101-150,Swiss Federal Institute of Technology Lausanne,5-7,0.0,http://www.shanghairanking.com/_uni/logo/1946ead7f.png,http://www.shanghairanking.com/institution/swiss-federal-institute-of-technology-lausanne
101-150,The Chinese University of Hong Kong,2,0.0,http://www.shanghairanking.com/_uni/logo/d7b4fe8fe.png,http://www.shanghairanking.com/institution/the-chinese-university-of-hong-kong
101-150,The Ohio State University - Columbus,40-54,10.7,http://www.shanghairanking.com/_uni/logo/1ccdfc090.png,http://www.shanghairanking.com/institution/the-ohio-state-university-columbus
